title,price,star_rating,availability,category
It's Only the Himalayas,£45.17,Two,In stock,Travel
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,£49.43,Four,In stock,Travel
See America: A Celebration of Our National Parks & Treasured Sites,£48.87,Three,In stock,Travel
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,£36.94,Two,In stock,Travel
Under the Tuscan Sun,£37.33,Three,In stock,Travel
A Summer In Europe,£44.34,Two,In stock,Travel
The Great Railway Bazaar,£30.54,One,In stock,Travel
A Year in Provence (Provence #1),£56.88,Four,In stock,Travel
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),£23.21,One,In stock,Travel
Neither Here nor There: Travels in Europe,£38.95,Three,In stock,Travel
"1,000 Places to See Before You Die",£26.08,Five,In stock,Travel
Sharp Objects,£47.82,Four,In stock,Mystery
"In a Dark, Dark Wood",£19.63,One,In stock,Mystery
The Past Never Ends,£56.50,Four,In stock,Mystery
A Murder in Time,£16.64,One,In stock,Mystery
The Murder of Roger Ackroyd (Hercule Poirot #4),£44.10,Four,In stock,Mystery
The Last Mile (Amos Decker #2),£54.21,Two,In stock,Mystery
That Darkness (Gardiner and Renner #1),£13.92,One,In stock,Mystery
Tastes Like Fear (DI Marnie Rome #3),£10.69,One,In stock,Mystery
A Time of Torment (Charlie Parker #14),£48.35,Five,In stock,Mystery
A Study in Scarlet (Sherlock Holmes #1),£16.73,Two,In stock,Mystery
Poisonous (Max Revere Novels #3),£26.80,Three,In stock,Mystery
Murder at the 42nd Street Library (Raymond Ambler #1),£54.36,Four,In stock,Mystery
Most Wanted,£35.28,Three,In stock,Mystery
Hide Away (Eve Duncan #20),£11.84,One,In stock,Mystery
Boar Island (Anna Pigeon #19),£59.48,Three,In stock,Mystery
The Widow,£27.26,Two,In stock,Mystery
Playing with Fire,£13.71,Three,In stock,Mystery
What Happened on Beale Street (Secrets of the South Mysteries #2),£25.37,Five,In stock,Mystery
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),£52.30,Five,In stock,Mystery
Delivering the Truth (Quaker Midwife Mystery #1),£20.89,Four,In stock,Mystery
The Mysterious Affair at Styles (Hercule Poirot #1),£24.80,Four,In stock,Mystery
In the Woods (Dublin Murder Squad #1),£38.38,Two,In stock,Mystery
The Silkworm (Cormoran Strike #2),£23.05,Five,In stock,Mystery
The Exiled,£43.45,Three,In stock,Mystery
The Cuckoo's Calling (Cormoran Strike #1),£19.21,One,In stock,Mystery
Extreme Prey (Lucas Davenport #26),£25.40,Three,In stock,Mystery
Career of Evil (Cormoran Strike #3),£24.72,Two,In stock,Mystery
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),£57.70,Four,In stock,Mystery
The Girl You Lost,£12.29,Five,In stock,Mystery
The Girl In The Ice (DCI Erika Foster #1),£15.85,Three,In stock,Mystery
